original_title,belongs_to_collection,original_language,budget,popularity,production_countries,runtime,spoken_languages,vote_average,vote_count,revenue,Foreign,Science Fiction,Romance,Action,Crime,Thriller,Family,Fantasy,Western,War,Horror,History,Animation,Comedy,Adventure,Mystery,Documentary,Music,Drama,release_year,production_companies_count,crew,cast
The Scarlet Letter,0,1,50000000.0,6.752119,1,135.0,1,5.5,111.0,10382407.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1995,2,10,11
Showgirls,1,1,45000000.0,17.502375,2,128.0,1,4.9,261.0,20350754.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,3,9,23
Smoke,1,1,7000000.0,5.552946,3,112.0,1,7.2,115.0,8349430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,1,11,14
Species,1,1,35000000.0,13.492845,1,108.0,1,5.5,457.0,113374103.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995,1,43,53
Strange Days,0,1,42000000.0,11.223055,1,145.0,1,6.8,334.0,7959291.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,1,17,14
The Tie That Binds,0,1,14000000.0,1.820419,1,99.0,1,4.6,9.0,5780000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3,28,39
Under Siege 2: Dark Territory,1,1,60000000.0,7.490247,1,100.0,1,5.6,217.0,104324083.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,5,20,12
A Walk in the Clouds,0,1,20000000.0,9.715639,1,103.0,1,6.5,168.0,50012507.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,2,58,8
Waterworld,0,1,175000000.0,16.885184,1,135.0,3,5.9,1017.0,264218220.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,4,116,15
Утомлённые солнцем,1,0,2800000.0,2.486073,2,135.0,1,6.7,35.0,2616503.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,3,23,6
Before Sunrise,1,1,2500000.0,11.304979,3,105.0,3,7.7,984.0,5535405.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,2,12,27
